"","habitat.diff","habitat.lwr","habitat.upr","habitat.p.adj"
"Cutblock- ",0.0256410256410453,-1.78272720835075,1.83400925963284,1
"Forest_Conifer- ",1.90958360235527e-14,-2.07652135720142,2.07652135720145,1
"Forest_Decidous- ",0.142857142857162,-1.87346235597624,2.15917664169056,0.999999971696409
"Forest_Mixedwood- ",0.294117647058842,-1.68227077901878,2.27050607313646,0.999980809387442
"Industrial- ",0.0370370370370561,-1.86836260860782,1.94243668268193,1
"Meadow_Grassland- ",1.90958360235527e-14,-1.87709129910941,1.87709129910945,1
"Meadow_Riparian- ",0.355555555555574,-1.50002109251609,2.21113220362723,0.999836818976259
"Meadow_Shrub- ",0.285714285714303,-1.65449005665862,2.22591862808723,0.99998246652144
"Roadside- ",1.00000000000002,-1.38574140466354,3.38574140466359,0.944290995449014
"Forest_Conifer-Cutblock",-0.0256410256410262,-1.14722765232257,1.09594560104052,0.999999999998988
"Forest_Decidous-Cutblock",0.117216117216116,-0.888547242433142,1.12297947686537,0.999997696872307
"Forest_Mixedwood-Cutblock",0.268476621417797,-0.654630536484673,1.19158377932027,0.995469618865429
"Industrial-Cutblock",0.0113960113960108,-0.747921724377903,0.770713747169925,1
"Meadow_Grassland-Cutblock",-0.0256410256410262,-0.71083250211277,0.659550450830717,0.999999999906381
"Meadow_Riparian-Cutblock",0.329914529914529,-0.293928648381151,0.953757708210209,0.802395041921674
"Meadow_Shrub-Cutblock",0.260073260073258,-0.582784085151866,1.10293060529838,0.992975576200704
"Roadside-Cutblock",0.974358974358978,-0.649764686007827,2.59848263472578,0.660162795656682
"Forest_Decidous-Forest_Conifer",0.142857142857143,-1.29007872898641,1.5757930147007,0.999999415508382
"Forest_Mixedwood-Forest_Conifer",0.294117647058823,-1.08206261081943,1.67029790493708,0.999598392187293
"Industrial-Forest_Conifer",0.037037037037037,-1.23509059062612,1.3091646647002,0.999999999990196
"Meadow_Grassland-Forest_Conifer",0,-1.22932202316261,1.22932202316261,1
"Meadow_Riparian-Forest_Conifer",0.355555555555555,-0.840657464064753,1.55176857517586,0.994670487400561
"Meadow_Shrub-Forest_Conifer",0.285714285714284,-1.03797517243027,1.60940374385884,0.999564603901032
"Roadside-Forest_Conifer",1,-0.918208263293204,2.91820826329321,0.815480102577936
"Forest_Mixedwood-Forest_Decidous",0.151260504201681,-1.13227970811577,1.43480071651913,0.999997461947692
"Industrial-Forest_Decidous",-0.105820105820106,-1.27710661027834,1.06546639863812,0.999999755046856
"Meadow_Grassland-Forest_Decidous",-0.142857142857143,-1.26750642645389,0.981792140739607,0.999995119001075
"Meadow_Riparian-Forest_Decidous",0.212698412698413,-0.875662264086269,1.30105908948309,0.999807758263163
"Meadow_Shrub-Forest_Decidous",0.142857142857142,-1.08423582675237,1.36995011246666,0.999997718433192
"Roadside-Forest_Decidous",0.857142857142862,-0.99572689430445,2.71001260859017,0.90094146036333
"Industrial-Forest_Mixedwood",-0.257080610021786,-1.35820683570338,0.844045615659807,0.999178891286342
"Meadow_Grassland-Forest_Mixedwood",-0.294117647058823,-1.3454990718769,0.757263777759256,0.996623139738508
"Meadow_Riparian-Forest_Mixedwood",0.0614379084967318,-0.951032264954824,1.07390808194829,0.999999992892595
"Meadow_Shrub-Forest_Mixedwood",-0.00840336134453912,-1.16871540791775,1.15190868522867,1
"Roadside-Forest_Mixedwood",0.705882352941181,-1.10345266445782,2.51521737034018,0.964474332190918
"Meadow_Grassland-Industrial",-0.037037037037037,-0.947992304513186,0.873918230439112,0.999999999802867
"Meadow_Riparian-Industrial",0.318518518518518,-0.547236903652819,1.18427394068986,0.975831082963952
"Meadow_Shrub-Industrial",0.248677248677247,-0.786098400588311,1.28345289794281,0.998965663711841
"Roadside-Industrial",0.962962962962967,-0.768547881379708,2.69447380730564,0.751358713738862
"Meadow_Riparian-Meadow_Grassland",0.355555555555555,-0.44597821577774,1.15708932688885,0.921957832595332
"Meadow_Shrub-Meadow_Grassland",0.285714285714284,-0.695960089973328,1.2673886614019,0.995445288701694
"Roadside-Meadow_Grassland",1,-0.700309895179397,2.70030989517941,0.685632065342346
"Meadow_Shrub-Meadow_Riparian",-0.0698412698412709,-1.00972292811437,0.870040388431828,0.999999956742775
"Roadside-Meadow_Riparian",0.644444444444449,-1.03208372153473,2.32097261042363,0.967724315054544
"Roadside-Meadow_Shrub",0.71428571428572,-1.05545293438967,2.48402436296111,0.955909409099976
